20000 265 718
22000 284 782
24000 303 853
26000 323 927
28000 346 996
30000 368 1107
32000 390 1140
34000 413 1218
36000 434 1291
38000 458 1357
40000 481 1431
42000 516 1520
44000 535 1580
46000 560 1668
48000 589 1734
50000 602 1816
52000 624 1867
54000 642 1934
56000 674 2015
58000 683 2073
60000 704 2148
62000 726 2211
64000 749 2278
66000 773 2364
68000 820 2434
70000 827 2530
72000 848 2559
74000 863 2632
76000 886 2703
78000 912 2777
80000 932 2859
82000 957 2910
84000 981 2997
86000 999 3044
88000 1022 3159
90000 1044 3189
92000 1065 3264
94000 1091 3342
96000 1113 3395
98000 1134 3482
100000 1155 3538
102000 1181 3616
104000 1202 3684
106000 1223 3747
108000 1246 3819
110000 1270 3911
112000 1292 3978
114000 1339 4066
116000 1337 4126
118000 1361 4189
120000 1380 4232
122000 1402 4326
124000 1427 4390
126000 1450 4467
128000 1472 4532
130000 1532 4623
132000 1526 4681
134000 1540 4742
136000 1578 4801
138000 1581 4865
140000 1635 4993
142000 1636 5047
144000 1678 5105
146000 1697 5188
148000 1705 5209
150000 1727 5291
152000 1754 5355
154000 1777 5443
156000 1800 5508
158000 1824 5583
160000 1844 5641
162000 1869 5726
164000 1892 5788
166000 1929 5851
168000 1937 5929
170000 2018 6033
172000 2031 6103
174000 2018 6247
176000 2039 6211
178000 2153 6419
180000 2122 6459
182000 2091 6387
184000 2111 6487
186000 2136 6565
188000 2199 6682
190000 2193 6711
192000 2215 6750
194000 2225 6837
196000 2251 6892
198000 2489 7228
200000 2367 7127
