1 5000 10 70
1 6000 12 85
1 7000 12 102
1 8000 15 114
1 9000 16 130
1 10000 20 146
1 11000 20 158
1 12000 22 172
1 13000 24 185
1 14000 25 201
1 15000 27 214
1 16000 29 229
1 17000 31 241
1 18000 38 256
1 19000 45 273
1 20000 50 288
1 21000 57 300
1 22000 64 314
1 23000 71 328
1 24000 77 344
1 25000 83 354
1 26000 89 369
1 27000 97 388
1 28000 103 402
1 29000 108 411
1 30000 114 429
1 31000 121 441
1 32000 126 458
1 33000 133 471
1 34000 137 489
1 35000 141 512
1 36000 146 526
1 37000 151 530
1 38000 153 553
1 39000 159 573
1 40000 171 641
1 41000 168 596
1 42000 172 612
1 43000 174 630
1 44000 178 641
1 45000 184 661
1 46000 185 654
1 47000 189 671
1 48000 194 697
1 49000 196 702
1 50000 202 730
2 5000 18 117
2 6000 21 137
2 7000 25 158
2 8000 30 181
2 9000 33 206
2 10000 37 224
2 11000 41 249
2 12000 43 272
2 13000 46 290
2 14000 51 313
2 15000 54 337
2 16000 58 357
2 17000 63 380
2 18000 66 400
2 19000 71 426
2 20000 74 447
2 21000 78 467
2 22000 82 486
2 23000 86 508
2 24000 89 533
2 25000 94 557
2 26000 97 579
2 27000 100 602
2 28000 106 628
2 29000 110 645
2 30000 119 666
2 31000 116 691
2 32000 127 708
2 33000 132 741
2 34000 199 757
2 35000 208 776
2 36000 215 800
2 37000 221 818
2 38000 227 833
2 39000 237 874
2 40000 239 889
2 41000 249 920
2 42000 251 930
2 43000 258 953
2 44000 261 972
2 45000 270 1003
2 46000 275 1016
2 47000 285 1040
2 48000 290 1067
2 49000 293 1087
2 50000 302 1108
3 5000 27 152
3 6000 32 186
3 7000 39 217
3 8000 44 250
3 9000 50 280
3 10000 55 311
3 11000 61 346
3 12000 66 376
3 13000 72 409
3 14000 77 435
3 15000 83 469
3 16000 89 498
3 17000 94 528
3 18000 102 560
3 19000 108 591
3 20000 112 618
3 21000 118 649
3 22000 127 678
3 23000 132 712
3 24000 138 746
3 25000 143 777
3 26000 149 803
3 27000 154 828
3 28000 168 870
3 29000 168 894
3 30000 174 923
3 31000 186 955
3 32000 193 989
3 33000 200 1019
3 34000 268 1050
3 35000 282 1077
3 36000 291 1102
3 37000 299 1137
3 38000 312 1169
3 39000 320 1194
3 40000 325 1230
3 41000 332 1259
3 42000 342 1282
3 43000 350 1327
3 44000 360 1351
3 45000 370 1384
3 46000 376 1408
