10000 3639 2146
11000 3983 2411
12000 4328 2610
13000 4689 2862
14000 5046 3191
15000 5403 3361
16000 5767 3590
17000 6123 3894
18000 6530 4160
19000 6848 4345
20000 7207 4668
21000 7565 4888
22000 7945 5114
23000 8321 5389
24000 8673 5621
25000 9006 5920
26000 9370 6177
27000 9752 6404
28000 10087 6652
29000 10445 6964
30000 10858 7355
31000 11175 7579
32000 11527 7636
33000 11888 8039
34000 12478 8468
35000 12748 8738
36000 13036 8897
37000 13337 8912
38000 13707 9434
39000 14082 9647
40000 14413 9840
41000 14776 10246
42000 15140 10503
43000 15493 10792
44000 16191 11034
45000 16210 11274
46000 16597 11462
47000 16934 11664
48000 17323 12090
49000 17654 12359
50000 18038 12547
51000 18374 13075
52000 18758 13231
53000 19096 13404
54000 19587 13654
55000 19831 13924
56000 20258 14283
57000 20581 14580
58000 20901 14917
59000 21698 15467
60000 21647 15113
61000 22028 15631
62000 22374 16172
63000 22704 16003
64000 23096 16551
65000 23542 16785
66000 23793 17102
67000 24169 17436
68000 24537 17681
69000 24865 17641
70000 25280 18138
71000 25647 18708
72000 25958 18897
73000 26322 18788
74000 26697 19046
75000 27051 19567
76000 27448 19727
77000 27777 20158
78000 28127 20548
79000 28544 20509
80000 28945 20998
81000 29271 21207
82000 29655 21716
83000 29926 21801
84000 30758 22247
85000 31047 22379
86000 31038 22727
87000 31452 23190
88000 32287 23681
89000 32136 23532
90000 32462 23472
91000 32924 23867
92000 33230 24324
93000 33652 24737
94000 33967 25008
95000 34324 25085
96000 34712 25766
97000 35111 25559
98000 35367 26136
99000 35744 26259
100000 36137 26583
